Тема заняття,Дата
Інструктаж з БЖ.,05.09
Фізика – наука про природу. Фізичні тіла та фізичні явища.,05.09
Будова речовини. Молекули. Атоми.,12.09
Фізичні величини. Вимірювання фізичних величин.,12.09
Інструктаж з БЖ. Лабораторна робота № 1. «Визначення ціни поділки шкали вимірювального приладу».,19.09
Похибки. Оцінювання точності вимірювання.,19.09
"Інструктаж з БЖ. Лабораторна робота № 2. «Вимірювання об’ємів твердих тіл, рідин і сипких матеріалів».",26.09
Наукові методи вивчення природи. Внесок українських вчених в розвиток фізики.,26.09
Інструктаж з БЖ. Лабораторна робота № 3. «Вимірювання розмірів малих тіл».,3.10
"Узагальнення розділу 1 «Фізика, як природнича наука»",3.10
Тематичне оцінювання №1,
,
Механічний рух. Відносність руху. Система відліку. Матеріальна точка.,10.10
Траєкторія руху. Шлях. Переміщення.,10.10
Рівномірний рух. Швидкість руху.,17.10
Розв’язування задач.,17.10
Графіки рівномірного руху.,31.10
Нерівномірний рух. Середня швидкість нерівномірного руху.,31.10
Розв’язування задач.,7.11
Рівномірний рух матеріальної точки по колу. Період обертання.,7.11
Розв’язування задач.,14.11
Інструктаж з БЖ. Лабораторна робота № 4. «Вимірювання періоду обертання та обертової частоти».,14.11
Розв’язування задач.,21.11
"Коливальний рух. Амплітуда, період та частота коливань",21.11
Розв’язування задач.,28.11
Інструктаж з БЖ. Лабораторна робота № 5. «Дослідження коливань нитяного маятника».,28.11
Розв’язування задач.,5.12
Розв’язування задач. Підготовка до к.р.,5.12
Контрольна робота.,12.12
Захист навчальних проектів,12.12
Захист навчальних проектів,19.12
Узагальнення розділу 2 «Механічний рух»,19.12
Тематичне оцінювання №2,
,
,
,
Явище інерції.,16.01
Інертність тіла. Маса.,16.01
Інструктаж з БЖ. Лабораторна робота № 6. «Вимірювання мас тіл способом зважування».,23.01
Густина. Одиниці густини.,23.01
Інструктаж з БЖ. Лабораторна робота № 7. «Визначення густин твердого тіла та рідини».,30.01
Учимося розв’язувати задачі.,30.01
Сила – міра взаємодії. Графічне зображення сил. Додавання сил.,06.02
Деформація тіла. Сила пружності. Закон Гука.,06.02
Інструктаж з БЖ. Лабораторна робота № 8. «Дослідження пружних властивостей тіл».,13.02
Сила тяжіння. Вага тіла. Невагомість.,13.02
Тертя. Сила тертя.,20.02
Інструктаж з БЖ. Лабораторна робота № 9. «Визначення коефіцієнта тертя ковзання».,20.02
Розв’язування задач,27.02
Підготовка до к.р.,27.02
Контрольна робота.,06.03
Тематичне оцінювання №3,
,
Тиск твердих тіл на поверхню. Сила тиску.,06.03
Тиск газів і рідин. Закон Паскаля.,13.03
Гідростатичний тиск.,13.03
Атмосферний тиск і його вимірювання. Барометри.,27.03
Сполучені посудини. Манометри.,27.03
Виштовхувальна сила в рідинах і газах. Закон Архімеда.,03.04
Умови плавання тіл.,03.04
Інструктаж з БЖ. Лабораторна робота № 10. «З’ясування умов плавання тіл».,10.04
Судноплавство та повітроплавання,10.04
Розв’язування задач,17.04
Контрольна робота.,17.04
Тематичне оцінювання №5,
,
Механічна робота. Одиниця роботи.,24.04
Потужність.,24.04
Механічна енергія. Потенціальна і кінетична енергія тіла.,01.05
Закон збереження і перетворення механічної енергії.,01.05
Момент сили. Умова рівноваги важеля.,08.05
Інструктаж з БЖ. Лабораторна робота № 11. «З’ясування умови рівноваги важеля».,08.05
Рухомий і нерухомий блоки.,15.05
Прості механізми. Коефіцієнт корисної дії механізмів.,15.05
Інструктаж з БЖ. Лабораторна робота № 12. «Визначення ККД похилої площини».,22.05
Розв’язування задач,22.05
Підготовка до к.р.,29.05
Контрольна робота.,29.05
Захист навчальних проектів,
Захист навчальних проектів,
Тематичне оцінювання №6,
