Тема уроку,дата
Інструктаж з БЖ. Повторення.,05.09
Тепловий стан тіл. Температура та її вимірювання.,07.09
Залежність розмірів фізичних тіл від температури.,07.09
Внутрішня енергія.,12.09
Способи зміни внутрішньої енергії.,14.09
Теплопровідність.,14.09
Конвекція.,19.09
Теплове випромінювання.,21.09
Кількість теплоти. Питома теплоємність речовини. Розрахунок кількості теплоти під час нагрівання або охолодження.,21.09
Розв’язування задач.,26.09
Розв’язування задач.,28.09
Тепловий баланс.,28.09
Розв’язування задач.,3.10
Температурні діаграми.,5.10
Розв’язування задач.,5.10
Інструктаж з БЖ. Лабораторна робота № 1. «Вивчення теплового балансу за умов змішування води різної температури».,10.10
Розв’язування задач.,12.10
Розв’язування задач.,12.10
Інструктаж з БЖ. Лабораторна робота № 2. «Визначення питомої теплоємності речовини».,17.10
Розв’язування задач.,19.10
Контрольна робота.,19.10
Тематичне оцінювання №1,
Агрегатний стан речовини. Наноматеріали.,31.10
Плавлення та кристалізація.,2.11
Питома теплота плавлення.,2.11
Розв’язування задач.,7.11
Випаровування та конденсація. Швидкість випаровування.,9.11
Кипіння. Питома теплота пароутворення.,9.11
Розв’язування задач.,14.11
Згорання палива. Питома теплота згорання палива. ККД нагрівника.,16.11
Розв’язування задач.,16.11
Перетворення механічної енергії в теплову.,21.11
Розв’язування задач.,23.11
Розв’язування задач.,23.11
Контрольна робота.,28.11
Тематичне оцінювання №2,
,
Принцип дії теплових двигунів. ККД теплового двигуна.,30.11
Деякі види теплових двигунів.,30.11
ККД реальної та ідеальної теплової машини.,5.12
Розв’язування задач.,7.12
Із історії винайдення теплових машин.,7.12
Контрольна робота.,12.12
Теплові двигуни. Види теплових двигунів.,14.12
Двигун внутрішнього згорання. Дизельний двигун.,14.12
Парова та газова турбіна. Узагальнення і систематизація знань з теми.,19.12
Узагальнення знань з розділу «Теплові явища»,21.12
Робота над проєктами,21.12
Тематичне оцінювання №3,
Електричний заряд та електромагнітна взаємодія.,16.01
Електричне поле.,18.01
Механізм електризації. Електроскоп.,18.01
Закон Кулона.,23.01
Закон Кулона.,25.01
Розв’язування задач.,25.01
Розв’язування задач.,30.01
Узагальнення і систематизація знань з теми.,01.02
Контрольна робота.,01.02
Тематичне оцінювання №4,
,
,
Електричний струм. Електрична провідність матеріалів.,06.02
"Дії електричного струму.(Теплова, хімічна, магнітна).",08.02
Джерела електричного струму.,08.02
Електричне коло та його елементи.,13.02
Сила струму. Одиниця сили струму. Амперметр. Вимірювання сили струму.,15.02
Електрична напруга. Одиниця напруги. Вольтметр. Вимірювання напруги.,15.02
Електричний опір. Закон Ома для однорідної ділянки електричного кола.,20.02
Розв’язування задач.,22.02
Розрахунок опору металевого провідника. Питомий опір речовини. Реостати.,22.02
Розв’язування задач.,27.02
Інструктаж з БЖ. Лабораторна робота № 3. «Вимірювання опору провідника за допомогою амперметра і вольтметра».,01.03
Послідовне з’єднання провідників.,01.03
Розв’язування задач.,06.03
Розв’язування задач.,08.03
Інструктаж з БЖ. Лабораторна робота № 4. «Дослідження електричного кола з послідовним з’єднанням провідників».,08.03
Паралельне з’єднання провідників.,13.03
Розв’язування задач.,15.03
Інструктаж з БЖ. Лабораторна робота № 5. «Дослідження електричного кола з паралельним з’єднанням провідників».,15.03
Методи розрахунку розгалужених електричних кіл.,27.03
Розв’язування задач.,29.03
Розв’язування задач.,29.03
Розширення меж вимірювання електровимірювальних приладів: шунт та додатковий опір.,03.04
Робота і потужність електричного струму.,05.04
Розв’язування задач.,05.04
Теплова дія струму. Закон Джоуля-Ленца.,10.04
Електричні нагрівальні пристрої. Запобіжники.,12.04
,12.04
Розв’язування задач.,17.04
Контрольна робота.,19.04
Енергозберігаючі технології в електротехніці та перспективи розвитку.,19.04
Узагальнення і систематизація знань з теми.,24.04
Тематичне оцінювання №6,
,
Електричний струм в металах,26.04
Залежність опору металевих провідників від температури.,26.04
Електричний струм в електролітах. Закони Фарадея.,01.05
Розв’язування задач.,03.05
Застосування електролізу.,03.05
Розв’язування задач.,08.05
Електричний струм в газах.,10.05
Види самостійних газових розрядів.,10.05
Електричний струм у напівпровідниках.,15.05
Напівпровідникові прилади та їх застосування в техніці.,17.05
Розв’язування задач.,17.05
Контрольна робота,22.05
Узагальнення і систематизація знань з теми.,24.05
Тематичне оцінювання №7,
,
Проєктна робота,24.05
Проєктна робота,29.05
Проєктна робота,31.05
Проєктна робота,31.05
