date,date_,link
2021-09-08,09/08/2021,https://telegra.ph/2021-09-08-03-09-7
2021-09-13,09/13/2021,https://telegra.ph/2021-09-13-03-09-7
2021-09-15,09/15/2021,https://telegra.ph/2021-09-15-03-09-7
2021-09-22,09/22/2021,https://telegra.ph/2021-09-22-03-09-7
2021-09-27,09/27/2021,https://telegra.ph/2021-09-27-03-09-7
2021-09-29,09/29/2021,https://telegra.ph/2021-09-29-03-09-7
2021-10-04,10/04/2021,https://telegra.ph/2021-10-04-03-09-7
2021-10-06,10/06/2021,https://telegra.ph/2021-10-06-03-09-7
2021-10-18,10/18/2021,https://telegra.ph/2021-10-18-03-09-7
2021-10-20,10/20/2021,https://telegra.ph/2021-10-20-03-09-7
2021-11-01,11/01/2021,https://telegra.ph/2021-11-01-03-09-2
2021-11-03,11/03/2021,https://telegra.ph/2021-11-03-03-09-3
2021-11-08,11/08/2021,https://telegra.ph/2021-11-08-03-09-3
2021-11-10,11/10/2021,https://telegra.ph/2021-11-10-03-09-3
2021-11-15,11/15/2021,https://telegra.ph/2021-11-15-03-09-3
2021-11-17,11/17/2021,https://telegra.ph/2021-11-17-03-09-3
2021-11-22,11/22/2021,https://telegra.ph/2021-11-22-03-09-3
2021-12-01,12/01/2021,https://telegra.ph/2021-12-01-03-09-3
2021-12-06,12/06/2021,https://telegra.ph/2021-12-06-03-09-3
2021-12-08,12/08/2021,https://telegra.ph/2021-12-08-03-09-3
2021-12-15,12/15/2021,https://telegra.ph/2021-12-15-03-09-3
2022-01-10,01/10/2022,https://telegra.ph/2022-01-10-03-09-2
2022-01-12,01/12/2022,https://telegra.ph/2022-01-12-03-09-3
2022-01-17,01/17/2022,https://telegra.ph/2022-01-17-03-09-3
2022-01-24,01/24/2022,https://telegra.ph/2022-01-24-03-09-3
2022-01-26,01/26/2022,https://telegra.ph/2022-01-26-03-09-3
2022-02-02,02/02/2022,https://telegra.ph/2022-02-02-03-09-3
2022-02-07,02/07/2022,https://telegra.ph/2022-02-07-03-09-3
2022-02-09,02/09/2022,https://telegra.ph/2022-02-09-03-09-3
2022-02-14,02/14/2022,https://telegra.ph/2022-02-14-03-09-3
2022-02-16,02/16/2022,https://telegra.ph/2022-02-16-03-09-3
2022-02-21,02/21/2022,https://telegra.ph/2022-02-21-03-09-3
2022-03-16,03/16/2022,https://telegra.ph/2022-03-16-03-09-2
2022-03-23,03/23/2022,https://telegra.ph/2022-03-23-03-09-3
2022-03-28,03/28/2022,https://telegra.ph/2022-03-28-03-09-3
2022-03-30,03/30/2022,https://telegra.ph/2022-03-30-03-09-3
2022-04-04,04/04/2022,https://telegra.ph/2022-04-04-03-09-3
2022-04-06,04/06/2022,https://telegra.ph/2022-04-06-03-09-3
2022-04-13,04/13/2022,https://telegra.ph/2022-04-13-03-09-3
2022-04-18,04/18/2022,https://telegra.ph/2022-04-18-03-09-3
2022-04-20,04/20/2022,https://telegra.ph/2022-04-20-03-09-3
2022-04-25,04/25/2022,https://telegra.ph/2022-04-25-03-09-3
2022-04-27,04/27/2022,https://telegra.ph/2022-04-27-03-09-3
2022-05-02,05/02/2022,https://telegra.ph/2022-05-02-03-09-2
2022-05-09,05/09/2022,https://telegra.ph/2022-05-09-03-09-3
2022-05-11,05/11/2022,https://telegra.ph/2022-05-11-03-09-3
2022-05-16,05/16/2022,https://telegra.ph/2022-05-16-03-09-3
2022-05-18,05/18/2022,https://telegra.ph/2022-05-18-03-09-3
2022-05-23,05/23/2022,https://telegra.ph/2022-05-23-03-09-3
2022-05-25,05/25/2022,https://telegra.ph/2022-05-25-03-09-2
