date,date_,link
Тепловий стан тіл. Температура та її вимірювання. Залежність розмірів фізичних тіл від температури. ,09/08/2021,https://telegra.ph/2021-09-08-03-09-7
Способи зміни внутрішньої енергії. Теплопровідність. ,09/13/2021,https://telegra.ph/2021-09-13-03-09-7
Способи зміни внутрішньої енергії. Теплопровідність. ,09/15/2021,https://telegra.ph/2021-09-15-03-09-7
Теплове випромінювання. Кількість теплоти. Питома теплоємність речовини. Розрахунок кількості теплоти під час нагрівання або охолодження. ,09/22/2021,https://telegra.ph/2021-09-22-03-09-7
Розв’язування задач. Тепловий баланс. ,09/27/2021,https://telegra.ph/2021-09-27-03-09-7
Розв’язування задач. Тепловий баланс. ,09/29/2021,https://telegra.ph/2021-09-29-03-09-7
Температурні діаграми. Розв’язування задач. ,10/04/2021,https://telegra.ph/2021-10-04-03-09-7
Температурні діаграми. Розв’язування задач. ,10/06/2021,https://telegra.ph/2021-10-06-03-09-7
Розв’язування задач. Контрольна робота. ,10/18/2021,https://telegra.ph/2021-10-18-03-09-7
Розв’язування задач. Контрольна робота. ,10/20/2021,https://telegra.ph/2021-10-20-03-09-7
Плавлення та кристалізація. Питома теплота плавлення. ,11/01/2021,https://telegra.ph/2021-11-01-03-09-2
Плавлення та кристалізація. Питома теплота плавлення. ,11/03/2021,https://telegra.ph/2021-11-03-03-09-3
Випаровування та конденсація. Швидкість випаровування. Кипіння. Питома теплота пароутворення. ,11/08/2021,https://telegra.ph/2021-11-08-03-09-3
Випаровування та конденсація. Швидкість випаровування. Кипіння. Питома теплота пароутворення. ,11/10/2021,https://telegra.ph/2021-11-10-03-09-3
Згорання палива. Питома теплота згорання палива. ККД нагрівника. Розв’язування задач. ,11/15/2021,https://telegra.ph/2021-11-15-03-09-3
Згорання палива. Питома теплота згорання палива. ККД нагрівника. Розв’язування задач. ,11/17/2021,https://telegra.ph/2021-11-17-03-09-3
Розв’язування задач. Розв’язування задач. ,11/22/2021,https://telegra.ph/2021-11-22-03-09-3
Принцип дії теплових двигунів. ККД теплового двигуна. Деякі види теплових двигунів. ,12/01/2021,https://telegra.ph/2021-12-01-03-09-3
Розв’язування задач. Із історії винайдення теплових машин. ,12/06/2021,https://telegra.ph/2021-12-06-03-09-3
Розв’язування задач. Із історії винайдення теплових машин. ,12/08/2021,https://telegra.ph/2021-12-08-03-09-3
Теплові двигуни. Види теплових двигунів. Двигун внутрішнього згорання. Дизельний двигун. ,12/15/2021,https://telegra.ph/2021-12-15-03-09-3
Електричний заряд та електромагнітна взаємодія. ,01/10/2022,https://telegra.ph/2022-01-10-03-09-2
Електричний заряд та електромагнітна взаємодія. ,01/12/2022,https://telegra.ph/2022-01-12-03-09-3
Електричне поле. Механізм електризації. Електроскоп. ,01/17/2022,https://telegra.ph/2022-01-17-03-09-3
Закон Кулона. Розв’язування задач. ,01/24/2022,https://telegra.ph/2022-01-24-03-09-3
Закон Кулона. Розв’язування задач. ,01/26/2022,https://telegra.ph/2022-01-26-03-09-3
Узагальнення і систематизація знань з теми. Контрольна робота. ,02/02/2022,https://telegra.ph/2022-02-02-03-09-3
"Дії електричного струму.(Теплова, хімічна, магнітна). Джерела електричного струму. ",02/07/2022,https://telegra.ph/2022-02-07-03-09-3
"Дії електричного струму.(Теплова, хімічна, магнітна). Джерела електричного струму. ",02/09/2022,https://telegra.ph/2022-02-09-03-09-3
Сила струму. Одиниця сили струму. Амперметр. Вимірювання сили струму. Електрична напруга. Одиниця напруги. Вольтметр. Вимірювання напруги. ,02/14/2022,https://telegra.ph/2022-02-14-03-09-3
