date,date_,link
Інструктаж з БЖ. Фізика – наука про природу. Фізичні тіла та фізичні явища. ,09/04/2020,https://telegra.ph/2020-09-04-03-09
Будова речовини. Молекули. Атоми. Фізичні величини. Вимірювання фізичних величин. ,09/11/2020,https://telegra.ph/2020-09-11-03-09
Інструктаж з БЖ. Лабораторна робота № 1. «Визначення ціни поділки шкали вимірювального приладу». Похибки. Оцінювання точності вимірювання. ,09/18/2020,https://telegra.ph/2020-09-18-03-09
"Інструктаж з БЖ. Лабораторна робота № 2. «Вимірювання об’ємів твердих тіл, рідин і сипких матеріалів». Наукові методи вивчення природи. Внесок українських вчених в розвиток фізики. ",09/25/2020,https://telegra.ph/2020-09-25-03-09
Механічний рух. Відносність руху. Система відліку. Матеріальна точка. Траєкторія руху. Шлях. Переміщення. ,10/09/2020,https://telegra.ph/2020-10-09-03-09
Рівномірний рух. Швидкість руху. Розв’язування задач. ,10/16/2020,https://telegra.ph/2020-10-16-03-09
Рівномірний рух. Швидкість руху. Розв’язування задач. ,10/23/2020,https://telegra.ph/2020-10-23-03-09
Графіки рівномірного руху. Нерівномірний рух. Середня швидкість нерівномірного руху. ,10/30/2020,https://telegra.ph/2020-10-30-03-09
Розв’язування задач. Рівномірний рух матеріальної точки по колу. Період обертання. ,11/06/2020,https://telegra.ph/2020-11-06-03-09
Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 4. «Вимірювання періоду обертання та обертової частоти». ,11/13/2020,https://telegra.ph/2020-11-13-03-09
Розв’язування задач. Розв’язування задач. Підготовка до к.р. ,12/04/2020,https://telegra.ph/2020-12-04-03-09
Інструктаж з БЖ. Лабораторна робота № 6. «Вимірювання мас тіл способом зважування». Густина. Одиниці густини. ,01/22/2021,https://telegra.ph/2021-01-22-03-09
Інструктаж з БЖ. Лабораторна робота № 7. «Визначення густин твердого тіла та рідини». Учимося розв’язувати задачі. ,01/29/2021,https://telegra.ph/2021-01-29-03-09
Сила – міра взаємодії. Графічне зображення сил. Додавання сил. Деформація тіла. Сила пружності. Закон Гука. ,02/05/2021,https://telegra.ph/2021-02-05-03-09
Інструктаж з БЖ. Лабораторна робота № 8. «Дослідження пружних властивостей тіл». Сила тяжіння. Вага тіла. Невагомість. ,02/12/2021,https://telegra.ph/2021-02-12-03-09
Атмосферний тиск і його вимірювання. Барометри. Сполучені посудини. Манометри. ,03/26/2021,https://telegra.ph/2021-03-26-03-09
Виштовхувальна сила в рідинах і газах. Закон Архімеда. Умови плавання тіл. ,04/02/2021,https://telegra.ph/2021-04-02-03-09
Інструктаж з БЖ. Лабораторна робота № 10. «З’ясування умов плавання тіл». Судноплавство та повітроплавання ,04/09/2021,https://telegra.ph/2021-04-09-03-09
Розв’язування задач Контрольна робота. ,04/16/2021,https://telegra.ph/2021-04-16-03-09
Механічна робота. Одиниця роботи. Потужність. ,04/23/2021,https://telegra.ph/2021-04-23-03-09
Механічна енергія. Потенціальна і кінетична енергія тіла. Закон збереження і перетворення механічної енергії. ,04/30/2021,https://telegra.ph/2021-04-30-03-09
Момент сили. Умова рівноваги важеля. Інструктаж з БЖ. Лабораторна робота № 11. «З’ясування умови рівноваги важеля». ,05/07/2021,https://telegra.ph/2021-05-07-03-09
Інструктаж з БЖ. Лабораторна робота № 12. «Визначення ККД похилої площини». Розв’язування задач ,05/21/2021,https://telegra.ph/2021-05-21-03-09
